kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
11512246,K00168.02,Kepler-23 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.27443889,3.961e-05,-3.961e-05,147.57983,0.00209,-0.00209,0.153,0.227,-0.153,6.0765,0.0604,-0.0604,206.7,5.3,-5.3,2.17,0.13,-0.09,896.0,,,152.62,29.55,-18.63,40.30,2,q1_q17_dr25_tce,5761.00,86.00,-69.00,4.091,0.018,-0.018,1.5180,0.0920,-0.0610,19h36m52.54s,+49d28m45.2s,13.438,
6462874,K01231.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,22.34293693,8.374e-05,-8.374e-05,155.08552,0.00334,-0.00334,0.001,0.364,-0.001,7.0813,0.0989,-0.0989,2691.1,66.5,-66.5,2.92,0.22,-0.3,399.0,,,6.01,1.73,-1.78,35.30,1,q1_q17_dr25_tce,4260.00,115.00,-140.00,4.663,0.060,-0.024,0.5800,0.0440,-0.0600,19h49m20.55s,+41d53m25.7s,15.719,
6665223,K01232.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,119.40817159,6.606e-05,-6.606e-05,232.649303,0.000466,-0.000466,0.915,0.013,-0.011,9.3537,0.0357,-0.0357,18563.3,55,-55,16.26,1.31,-1.3,328.0,,,2.72,0.72,-0.59,508.40,1,q1_q17_dr25_tce,5316.00,106.00,-106.00,4.477,0.077,-0.056,0.8720,0.0700,-0.0700,18h46m58.23s,+42d07m23.1s,14.427,
6545358,K01233.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,1.171536413,9.84e-07,-9.84e-07,178.597581,0.000708,-0.000708,0.973,0.48,-0.022,1.5878,0.0441,-0.0441,1132.7,21.2,-21.2,7.12,1.98,-1.06,2387.0,,,7673.20,6470.36,-3292.52,67.00,1,q1_q17_dr25_tce,7021.00,219.00,-406.00,4.275,0.078,-0.182,1.4850,0.4110,-0.2210,19h51m32.25s,+41d55m52.5s,15.634,
6390824,K01234.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,0.973547911,1.6e-06,-1.6e-06,133.49742,0.00148,-0.00148,1.097,1.757,-0.054,2.2858,0.0809,-0.0809,435.7,13.9,-13.9,11.52,3.28,-1.03,1814.0,,,2556.60,2160.30,-718.87,38.70,1,q1_q17_dr25_tce,6084.00,171.00,-214.00,4.542,0.048,-0.192,0.8630,0.2460,-0.0770,19h55m10.80s,+41d45m35.2s,15.460,
6546528,K01235.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.053563251,6.107e-06,-6.107e-06,133.88354,0.00177,-0.00177,1.208,5.729,-0.113,3.2551,0.0839,-0.0839,508.4,12.2,-12.2,21.79,5.1,-1.82,1171.0,,,444.16,308.00,-109.57,50.40,1,q1_q17_dr25_tce,5764.00,155.00,-155.00,4.548,0.040,-0.160,0.8630,0.2020,-0.0720,19h52m32.46s,+41d57m03.8s,14.598,
10676923,K01297.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.031096352,2.796e-06,-2.796e-06,133.93938,0.00214,-0.00214,0.979,0.175,-0.054,2.781,0.171,-0.171,265.4,10.2,-10.2,2.36,0.8,-0.27,2020.0,,,3954.46,3947.60,-1250.43,37.80,1,q1_q17_dr25_tce,6371.00,176.00,-220.00,4.426,0.056,-0.224,1.0720,0.3630,-0.1210,19h44m35.70s,+47d56m05.5s,15.131,
10604335,K01298.01,Kepler-283 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.00817635,1.701e-05,-1.701e-05,143.22611,0.00129,-0.00129,0.025,0.408,-0.025,2.013,0.0436,-0.0436,1462.5,40,-40,2.15,0.1,-0.11,488.0,,,13.39,2.48,-2.37,42.10,1,q1_q17_dr25_tce,4141.00,83.00,-91.00,4.684,0.022,-0.025,0.5820,0.0270,-0.0300,19h34m27.29s,+47d50m20.4s,15.847,
10604335,K01298.02,Kepler-283 c,CONFIRMED,CANDIDATE,0.0000,0,0,0,0,92.7495777,0.0006942,-0.0006942,173.27975,0.00543,-0.00543,0.019,0.422,-0.019,5.506,0.191,-0.191,1105.1,65.1,-65.1,1.87,0.08,-0.1,240.0,,,0.78,0.15,-0.14,18.00,2,q1_q17_dr25_tce,4141.00,83.00,-91.00,4.684,0.022,-0.025,0.5820,0.0270,-0.0300,19h34m27.29s,+47d50m20.4s,15.847,
10864656,K01299.01,Kepler-432 b,CONFIRMED,CANDIDATE,0.9810,0,0,0,0,52.5008645,0.0001465,-0.0001465,171.52114,0.00222,-0.00222,0.11,0.254,-0.11,14.9066,0.0781,-0.0781,946.7,9.2,-9.2,12.41,0.61,-1.53,812.0,,,102.94,15.40,-28.44,116.20,1,q1_q17_dr25_tce,4976.00,54.00,-74.00,3.331,0.008,-0.009,4.1570,0.2050,-0.5130,19h33m07.73s,+48d17m09.2s,12.183,
